sample,timestamp,value,reference
0,0.000,20.064087,20.000000
1,0.100,20.383719,20.214555
2,0.200,20.368315,20.419492
3,0.300,20.736980,20.606149
4,0.400,20.840304,20.767679
5,0.500,21.152249,20.899708
6,0.600,20.889327,21.000727
7,0.700,21.307900,21.072179
8,0.800,20.650163,21.118222
9,0.900,21.219018,21.145210
10,1.000,21.301740,21.160933
11,1.100,21.061733,21.173703
12,1.200,20.923993,21.191398
13,1.300,20.979984,21.220545
14,1.400,21.499707,21.265565
15,1.500,21.551425,21.328245
16,1.600,21.457185,21.407504
17,1.700,22.086952,21.499476
18,1.800,22.053555,21.597895
19,1.900,21.583764,21.694759
20,2.000,21.176754,21.781175
21,2.100,22.144204,21.848313
22,2.200,21.932706,21.888362
23,2.300,21.793386,21.895379
24,2.400,21.982043,21.865942
25,2.500,21.633365,21.799539
26,2.600,22.035363,21.698642
27,2.700,21.472874,21.568475
28,2.800,21.254855,21.416478
29,2.900,21.215287,21.251541
30,3.000,21.502716,21.083095
31,3.100,20.801329,20.920131
32,3.200,20.751509,20.770292
33,3.300,20.664126,20.639101
34,3.400,20.943963,20.529434
35,3.500,20.582337,20.441270
36,3.600,20.381234,20.371776
37,3.700,20.252422,20.315682
38,3.800,20.499256,20.265939
39,3.900,20.554515,20.214555
40,4.000,20.118496,20.153553
41,4.100,20.541901,20.075911
42,4.200,19.841366,19.976411
43,4.300,19.380172,19.852289
44,4.400,19.819232,19.703614
45,4.500,19.799713,19.533369
46,4.600,19.714034,19.347203
47,4.700,19.116345,19.152901
48,4.800,18.879711,18.959616
49,4.900,18.576872,18.776951
50,5.000,18.565954,18.613987
51,5.100,18.012365,18.478367
52,5.200,18.244341,18.375525
53,5.300,18.304050,18.308162
54,5.400,18.239905,18.275997
55,5.500,18.238937,18.275852
56,5.600,18.459746,18.302029
57,5.700,18.304419,18.346971
58,5.800,18.492318,18.402105
59,5.900,18.381911,18.458794
60,6.000,18.313934,18.509292
61,6.100,18.444666,18.547591
62,6.200,18.750419,18.570076
63,6.300,18.444836,18.575914
64,6.400,18.813038,18.567135
65,6.500,18.856901,18.548392
66,6.600,18.595446,18.526438
67,6.700,18.569654,18.509363
68,6.800,18.329629,18.505684
69,6.900,18.204656,18.523379
70,7.000,18.415473,18.568975
71,7.100,18.740287,18.646792
72,7.200,18.652766,18.758415
73,7.300,19.105246,18.902461
74,7.400,19.012948,19.074663
75,7.500,19.577562,19.268263
76,7.600,19.166759,19.474671
77,7.700,19.226930,19.684318
78,7.800,20.206605,19.887615
79,7.900,20.197751,20.075911
80,8.000,20.063432,20.242350
81,8.100,20.341074,20.382527
82,8.200,20.537085,20.494882
83,8.300,20.561975,20.580788
84,8.400,20.712001,20.644316
85,8.500,20.522747,20.691710
86,8.600,20.346801,20.730635
87,8.700,20.943475,20.769261
88,8.800,20.557185,20.815304
89,8.900,21.056618,20.875118
90,9.000,20.631203,20.952935
91,9.100,20.795168,21.050340
92,9.200,21.186768,21.166037
93,9.300,21.131237,21.295935
94,9.400,21.376927,21.433536
95,9.500,21.627980,21.570595
96,9.600,21.556156,21.697971
97,9.700,21.877902,21.806582
98,9.800,21.858975,21.888362
99,9.900,22.190640,21.937110
100,10.000,21.903255,21.949146
101,10.100,21.942216,21.923703
102,10.200,21.932348,21.863001
103,10.300,21.635807,21.772016
104,10.400,21.664605,21.657945
105,10.500,21.581710,21.529447
106,10.600,21.185047,21.395724
107,10.700,21.956788,21.265557
108,10.800,20.968691,21.146386
109,10.900,20.835717,21.043544
110,11.000,21.154518,20.959731
111,11.100,20.943366,20.894770
112,11.200,20.609922,20.845682
113,11.300,20.466800,20.807073
114,11.400,20.692529,20.771784
115,11.500,20.979347,20.731737
116,11.600,20.944075,20.678882
117,11.700,20.530225,20.606149
118,11.800,20.491520,20.508289
119,11.900,20.426051,20.382527
120,12.000,20.098061,20.228943
121,12.100,20.020926,20.050551
122,12.200,20.039010,19.853048
123,12.300,21.315009,19.644292
124,12.400,19.723218,19.433522
125,12.500,18.930637,19.230451
126,12.600,19.317606,19.044285
127,12.700,18.771895,18.882809
128,12.800,18.934935,18.751619
129,12.900,18.667758,18.653588
130,13.000,18.683793,18.588627
131,13.100,18.254520,18.553757
132,13.200,18.124687,18.543496
133,13.300,18.528204,18.550512
134,13.400,18.741143,18.566464
135,13.500,18.632048,18.582958
136,13.600,20.842213,18.592496
137,13.700,18.413666,18.589321
138,13.800,15.488730,18.570076
139,13.900,18.757755,18.534184
140,14.000,18.441426,18.483931
141,14.100,18.347406,18.424227
142,14.200,18.291080,18.362078
143,14.300,18.196837,18.305822
144,14.400,18.118006,18.264217
145,14.500,18.344627,18.245474
146,14.600,18.510992,18.256346
147,14.700,18.621724,18.301366
148,14.800,18.450781,18.382321
149,14.900,18.443995,18.498018
150,15.000,18.721433,18.644365
151,15.100,19.361344,18.814763
152,15.200,18.878567,19.000765
153,15.300,19.435407,19.192927
154,15.400,19.411349,19.381769
155,15.500,19.293501,19.558730
156,15.600,19.772644,19.717021
157,15.700,19.676037,19.852289
158,15.800,19.889303,19.963005
159,15.900,19.829090,20.050551
160,16.000,19.897923,20.118987
161,16.100,20.150440,20.174529
162,16.200,20.591823,20.224790
163,16.300,19.773480,20.277870
164,16.400,20.547822,20.341398
165,16.500,20.482962,20.421619
166,16.600,20.825535,20.522638
167,16.700,20.615789,20.645897
168,16.800,20.830166,20.789943
169,16.900,20.772905,20.950509
170,17.000,20.828969,21.120907
171,17.100,21.532721,21.292690
172,17.200,21.016999,21.456504
173,17.300,22.104916,21.603041
174,17.400,21.702891,21.724003
175,17.500,21.434904,21.812945
176,17.600,21.675692,21.865942
177,17.700,21.676125,21.881972
178,17.800,22.259843,21.863001
179,17.900,21.762148,21.813746
180,18.000,21.489966,21.741149
181,18.100,21.525119,21.653611
182,18.200,21.753839,21.560083
183,18.300,21.331298,21.469098
184,18.400,21.619544,21.387853
185,18.500,21.077987,21.321449
186,18.600,20.957333,21.272361
187,18.700,20.992748,21.240197
188,18.800,21.258137,21.221776
189,18.900,20.994384,21.211515
190,19.000,20.998119,21.202082
191,19.100,21.228007,21.185237
192,19.200,21.229598,21.152788
193,19.300,20.812651,21.097539
194,19.400,21.276956,21.014134
195,19.500,20.914169,20.899708
196,19.600,21.018140,20.754272
197,19.700,20.617197,20.580788
198,19.800,20.293616,20.384925
199,19.900,20.145372,20.174529
200,20.000,19.842623,19.958851
201,20.100,20.023420,19.747633
202,20.200,19.235286,19.550130
203,20.300,19.426511,19.374200
204,20.400,19.040004,19.225525
205,20.500,19.473670,19.107088
206,20.600,18.538503,19.018925
207,20.700,18.916402,18.958199
208,20.800,19.368972,18.919590
209,20.900,19.212371,18.895938
210,21.000,18.620261,18.879093
211,21.100,19.061750,18.860863
212,21.200,19.425136,18.833963
213,21.300,18.742760,18.792862
214,21.400,18.889920,18.734435
215,21.500,18.522354,18.658348
216,21.600,18.166409,18.567135
217,21.700,18.453041,18.465958
218,21.800,18.453565,18.362078
219,21.900,18.284022,18.264092
220,22.000,18.448003,18.181013
221,22.100,18.168576,18.121310
222,22.200,18.139519,18.091986
223,22.300,17.723411,18.097825
224,22.400,18.301429,18.140854
225,22.500,18.005356,18.220113
226,22.600,18.372335,18.331736
227,22.700,18.617536,18.469337
228,22.800,18.541791,18.624671
229,22.900,18.655465,18.788485
230,23.000,19.054987,18.951472
231,23.100,18.874664,19.105230
232,23.200,19.297191,19.243115
233,23.300,19.033002,19.360899
234,23.400,19.537406,19.457159
235,23.500,19.554110,19.533369
236,23.600,19.351632,19.593658
237,23.700,19.360580,19.644292
238,23.800,19.500792,19.692913
239,23.900,19.741829,19.747633
